Date,Open,High,Low,Close,Volume
2009-08-28,26.989999771118164,27.299999237060547,26.51000022888184,26.84000015258789,49687003
2009-09-04,26.489999771118164,26.96999931335449,25.25,25.899999618530277,93111261
2009-09-11,26.309999465942383,28.420000076293945,26.09000015258789,28.420000076293945,67573892
2009-09-18,28.190000534057617,28.68000030517578,27.790000915527344,28.440000534057617,61077997
2009-09-25,28.1200008392334,28.600000381469727,27.530000686645508,27.6200008392334,57150267
2009-10-02,27.770000457763672,28.440000534057617,26.84000015258789,27.209999084472656,66052001
2009-10-09,27.15999984741211,28.989999771118164,27.0,28.63999938964844,45600116
2009-10-16,28.709999084472656,29.520000457763672,28.36000061035156,29.399999618530277,46711124
2009-10-23,29.399999618530277,29.979999542236328,28.690000534057617,28.88999938964844,49950761
2009-10-30,28.8700008392334,29.46999931335449,27.18000030517578,27.3700008392334,64922103
2009-11-06,27.3799991607666,29.100000381469727,27.01000022888184,28.559999465942383,62171989
2009-11-13,28.670000076293945,30.530000686645508,28.229999542236328,30.440000534057617,88501605
2009-11-20,30.1200008392334,30.924999237060547,29.850000381469727,30.01000022888184,48230660
2009-11-27,30.309999465942383,30.76000022888184,29.799999237060547,30.350000381469727,31839055
2009-12-04,30.229999542236328,31.100000381469727,29.950000762939453,30.84000015258789,54883094
2009-12-11,30.93000030517578,31.82999992370605,30.450000762939453,31.700000762939453,59513604
2009-12-18,31.920000076293945,32.59000015258789,31.57999992370605,31.950000762939453,66176803
2009-12-24,32.04999923706055,32.5,31.940000534057617,32.290000915527344,26990026
2009-12-31,32.2400016784668,32.75,31.799999237060547,32.25,40568204
2010-01-08,32.5,32.75,31.530000686645508,31.8799991607666,50577097
2010-01-15,31.530000686645508,31.739999771118164,30.40999984741211,30.600000381469727,58666322
2010-01-22,30.59000015258789,31.420000076293945,29.950000762939453,29.979999542236328,52827828
2010-01-29,30.21999931335449,30.229999542236328,28.709999084472656,29.549999237060547,70112849
2010-02-05,29.600000381469727,30.8700008392334,28.989999771118164,29.540000915527344,62337031
2010-02-12,29.76000022888184,30.43000030517578,29.030000686645508,30.06999969482422,74417722
2010-02-19,30.280000686645508,31.520000457763672,30.170000076293945,31.229999542236328,39638616
2010-02-26,31.350000381469727,31.5,30.850000381469727,31.239999771118164,54162323
2010-03-05,31.399999618530277,33.220001220703125,31.34000015258789,33.220001220703125,75379149
2010-03-12,32.959999084472656,33.810001373291016,32.779998779296875,33.689998626708984,54913071
2010-03-19,33.52000045776367,33.97999954223633,33.36000061035156,33.63999938964844,49340765
2010-03-26,33.470001220703125,35.599998474121094,33.41999816894531,35.310001373291016,86569103
2010-04-01,35.279998779296875,35.59000015258789,34.7599983215332,35.54999923706055,55155022
2010-04-09,35.279998779296875,36.880001068115234,35.060001373291016,36.220001220703125,63750308
2010-04-16,36.13999938964844,36.5099983215332,35.68000030517578,35.83000183105469,52124169
2010-04-23,35.79999923706055,36.869998931884766,35.58000183105469,36.790000915527344,53566898
2010-04-30,36.7599983215332,37.4900016784668,35.959999084472656,36.84000015258789,53879040
2010-05-07,36.95000076293945,37.97999954223633,31.0,33.40999984741211,89810952
2010-05-14,34.9900016784668,36.25,33.83000183105469,34.060001373291016,96062543
2010-05-21,34.220001220703125,34.63999938964844,31.399999618530277,32.869998931884766,97810400
2010-05-28,32.560001373291016,34.369998931884766,31.209999084472656,33.41999816894531,97950035
2010-06-04,33.060001373291016,35.099998474121094,32.849998474121094,33.689998626708984,73313920
2010-06-11,33.70000076293945,34.2599983215332,32.40999984741211,34.2400016784668,66481897
2010-06-18,34.4900016784668,35.349998474121094,33.915000915527344,35.150001525878906,55930491
2010-06-25,35.5,35.83000183105469,33.119998931884766,33.47999954223633,52019228
2010-07-02,33.560001373291016,33.7599983215332,30.71999931335449,31.3799991607666,76370073
2010-07-09,31.770000457763672,33.79999923706055,31.3799991607666,33.75,48099698
2010-07-16,33.58000183105469,34.66999816894531,32.91999816894531,33.029998779296875,50419682
2010-07-23,33.09000015258789,34.209999084472656,32.630001068115234,34.130001068115234,52204621
2010-07-30,34.09000015258789,34.79999923706055,33.02000045776367,33.689998626708984,41053351
2010-08-06,34.13999938964844,35.09000015258789,34.02000045776367,35.0,44767616
2010-08-13,34.959999084472656,35.40999984741211,33.40999984741211,33.68000030517578,58082564
2010-08-20,33.439998626708984,34.220001220703125,32.709999084472656,33.04999923706055,45825371
2010-08-27,33.22999954223633,33.54999923706055,31.549999237060547,32.779998779296875,57698961
2010-09-03,32.72999954223633,34.70000076293945,31.90999984741211,34.66999816894531,45135820
2010-09-10,34.5,34.630001068115234,33.65999984741211,34.150001525878906,33461437
2010-09-17,34.41999816894531,34.72999954223633,33.709999084472656,34.560001373291016,50170681
2010-09-24,34.560001373291016,34.9900016784668,33.0,33.58000183105469,60511104
2010-10-01,33.599998474121094,33.65999984741211,32.68000030517578,33.34000015258789,57357314
2010-10-08,33.22999954223633,34.70000076293945,33.08000183105469,34.5099983215332,58611224
2010-10-15,34.52000045776367,35.20000076293945,33.959999084472656,34.880001068115234,45861306
2010-10-22,34.83000183105469,35.040000915527344,34.0,34.970001220703125,53132506
2010-10-29,35.15999984741211,36.51499938964844,34.9900016784668,36.125,64953550
2010-11-05,36.209999084472656,37.27000045776367,35.7599983215332,37.20000076293945,63257307
2010-11-12,37.04999923706055,38.0,35.150001525878906,37.75,99274038
2010-11-19,37.41999816894531,37.78010177612305,36.70000076293945,37.0099983215332,57913360
2010-11-26,36.880001068115234,37.04999923706055,36.0,36.70000076293945,31088886
2010-12-03,36.45000076293945,37.66999816894531,36.02000045776367,37.59000015258789,61965711
2010-12-10,37.43000030517578,37.97999954223633,36.5099983215332,36.65999984741211,35080037
2010-12-17,36.95000076293945,37.5,36.56999969482422,37.04999923706055,45516013
2010-12-23,37.02999877929688,37.9900016784668,36.84000015258789,37.70000076293945,21649279
2010-12-31,37.54999923706055,37.84000015258789,37.06999969482422,37.5099983215332,19157207
2011-01-07,37.7400016784668,40.0,37.619998931884766,39.45000076293945,72917621
2011-01-14,39.0099983215332,39.810001373291016,38.92499923706055,39.290000915527344,37158205
2011-01-21,39.06999969482422,39.93999862670898,38.5099983215332,39.7400016784668,36187032
2011-01-28,39.63999938964844,39.95000076293945,38.650001525878906,38.84999847412109,42131642
2011-02-04,39.040000915527344,40.77000045776367,38.64500045776367,40.709999084472656,53521486
2011-02-11,40.79999923706055,44.04999923706055,40.709999084472656,43.40999984741211,83975520
2011-02-18,43.18999862670898,43.900001525878906,42.97999954223633,43.560001373291016,49786770
2011-02-25,42.83000183105469,43.28499984741211,41.59999847412109,42.95000076293945,56966763
2011-03-04,43.02000045776367,44.34000015258789,42.970001220703125,43.54999923706055,53096584
2011-03-11,43.52999877929688,43.61000061035156,42.15999984741211,42.93000030517578,41229388
2011-03-18,42.63999938964844,42.6797981262207,40.41999816894531,41.22999954223633,65048104
2011-03-25,41.459999084472656,43.2400016784668,40.869998931884766,42.970001220703125,40696371
2011-04-01,43.18999862670898,43.47999954223633,42.36000061035156,42.84999847412109,34130223
2011-04-08,42.869998931884766,43.04999923706055,41.400001525878906,41.7599983215332,39055258
2011-04-15,41.7599983215332,42.02000045776367,40.84000015258789,41.52000045776367,40820710
2011-04-21,40.970001220703125,42.459999084472656,40.45500183105469,42.27000045776367,29184090
2011-04-29,42.34000015258789,43.34999847412109,41.71500015258789,43.09999847412109,30122091
2011-05-06,43.470001220703125,43.790000915527344,42.29999923706055,43.060001373291016,35369886
2011-05-13,43.31999969482422,44.125,40.93999862670898,41.52000045776367,78855110
2011-05-20,41.2599983215332,41.84000015258789,40.68000030517578,41.5,50988843
